,zone1_generic_heat_thermal_power,zone2_generic_heat_thermal_power,zone3_generic_heat_thermal_power,zone4_generic_heat_thermal_power,zone1_generic_cool_thermal_power,zone2_generic_cool_thermal_power,zone3_generic_cool_thermal_power,zone4_generic_cool_thermal_power,zone1_ahu_heat_air_flow,zone2_ahu_heat_air_flow,zone3_ahu_heat_air_flow,zone4_ahu_heat_air_flow,zone1_ahu_cool_air_flow,zone2_ahu_cool_air_flow,zone3_ahu_cool_air_flow,zone4_ahu_cool_air_flow,zone1_tu_heat_air_flow,zone2_tu_heat_air_flow,zone3_tu_heat_air_flow,zone4_tu_heat_air_flow,zone1_tu_cool_air_flow,zone2_tu_cool_air_flow,zone3_tu_cool_air_flow,zone4_tu_cool_air_flow
surface_adiabatic_7_temperature,1.6105029662220238e-08,3.929748813099178e-06,1.8487485081018344e-09,4.807983469184502e-07,-1.6105029662220238e-08,-3.929748813099178e-06,-1.8487485081018344e-09,-4.807983469184502e-07,9.751796773345131e-05,0.02379512028191716,1.1194403310120121e-05,0.0029112940903845805,-9.751796773345131e-05,-0.02379512028191716,-1.1194403310120121e-05,-0.0029112940903845805,9.751796773345131e-05,0.02379512028191716,1.1194403310120121e-05,0.0029112940903845805,-9.751796773345131e-05,-0.02379512028191716,-1.1194403310120121e-05,-0.0029112940903845805
surface_adiabatic_8_temperature,7.39469158225763e-09,1.805650027066343e-06,8.485213428787805e-10,2.2081065792591282e-07,-7.39469158225763e-09,-1.805650027066343e-06,-8.485213428787805e-10,-2.2081065792591282e-07,4.477578186701772e-05,0.01093343662014009,5.137902796298876e-06,0.0013370361350736428,-4.477578186701772e-05,-0.01093343662014009,-5.137902796298876e-06,-0.0013370361350736428,4.477578186701772e-05,0.01093343662014009,5.137902796298876e-06,0.0013370361350736428,-4.477578186701772e-05,-0.01093343662014009,-5.137902796298876e-06,-0.0013370361350736428
surface_adiabatic_9_temperature,7.394691582197547e-09,1.805650027064436e-06,8.48521342973638e-10,2.2081065792626148e-07,-7.394691582197547e-09,-1.805650027064436e-06,-8.48521342973638e-10,-2.2081065792626148e-07,4.4775781866653924e-05,0.010933436620128542,5.137902796873249e-06,0.001337036135075754,-4.4775781866653924e-05,-0.010933436620128542,-5.137902796873249e-06,-0.001337036135075754,4.4775781866653924e-05,0.010933436620128542,5.137902796873249e-06,0.001337036135075754,-4.4775781866653924e-05,-0.010933436620128542,-5.137902796873249e-06,-0.001337036135075754
surface_adiabatic_10_temperature,1.5763090305872083e-08,3.846421149211053e-06,1.809467722686488e-09,4.7059431707494566e-07,-1.5763090305872083e-08,-3.846421149211053e-06,-1.809467722686488e-09,-4.7059431707494566e-07,9.544748218834369e-05,0.023290560861116576,1.0956553244332021e-05,0.0028495074141784305,-9.544748218834369e-05,-0.023290560861116576,-1.0956553244332021e-05,-0.0028495074141784305,9.544748218834369e-05,0.023290560861116576,1.0956553244332021e-05,0.0028495074141784305,-9.544748218834369e-05,-0.023290560861116576,-1.0956553244332021e-05,-0.0028495074141784305
surface_adiabatic_11_temperature,1.5763090305809608e-08,3.8464211492102815e-06,1.8094677227258907e-09,4.705943170746996e-07,-1.5763090305809608e-08,-3.8464211492102815e-06,-1.8094677227258907e-09,-4.705943170746996e-07,9.544748218796539e-05,0.023290560861111906,1.095655324457061e-05,0.0028495074141769404,-9.544748218796539e-05,-0.023290560861111906,-1.095655324457061e-05,-0.0028495074141769404,9.544748218796539e-05,0.023290560861111906,1.095655324457061e-05,0.0028495074141769404,-9.544748218796539e-05,-0.023290560861111906,-1.095655324457061e-05,-0.0028495074141769404
surface_adiabatic_12_temperature,4.3449855937593354e-07,1.8487485087168527e-09,1.5123884624820163e-05,2.0610576907712048e-10,-4.3449855937593354e-07,-1.8487485087168527e-09,-1.5123884624820163e-05,-2.0610576907712048e-10,0.0026309430893411995,1.1194403313844132e-05,0.09157701188886419,1.2479961949830992e-06,-0.0026309430893411995,-1.1194403313844132e-05,-0.09157701188886419,-1.2479961949830992e-06,0.0026309430893411995,1.1194403313844132e-05,0.09157701188886419,1.2479961949830992e-06,-0.0026309430893411995,-1.1194403313844132e-05,-0.09157701188886419,-1.2479961949830992e-06
surface_adiabatic_13_temperature,1.9955441444045812e-07,8.485213435183336e-10,6.951530350373263e-06,9.456245905979771e-11,-1.9955441444045812e-07,-8.485213435183336e-10,-6.951530350373263e-06,-9.456245905979771e-11,0.0012083269237387788,5.137902800171449e-06,0.04209238521280391,5.725875099144577e-07,-0.0012083269237387788,-5.137902800171449e-06,-0.04209238521280391,-5.725875099144577e-07,0.0012083269237387788,5.137902800171449e-06,0.04209238521280391,5.725875099144577e-07,-0.0012083269237387788,-5.137902800171449e-06,-0.04209238521280391,-5.725875099144577e-07
surface_adiabatic_14_temperature,4.2527776851750104e-07,1.8094677233447314e-09,1.4803391818159192e-05,2.0172373516499202e-10,-4.2527776851750104e-07,-1.8094677233447314e-09,-1.4803391818159192e-05,-2.0172373516499202e-10,0.002575110048094533,1.0956553248317767e-05,0.08963638788293118,1.2214624318909224e-06,-0.002575110048094533,-1.0956553248317767e-05,-0.08963638788293118,-1.2214624318909224e-06,0.002575110048094533,1.0956553248317767e-05,0.08963638788293118,1.2214624318909224e-06,-0.002575110048094533,-1.0956553248317767e-05,-0.08963638788293118,-1.2214624318909224e-06
surface_adiabatic_15_temperature,4.2527776851754244e-07,1.8094677232775455e-09,1.4803391818158333e-05,2.0172373518550127e-10,-4.2527776851754244e-07,-1.8094677232775455e-09,-1.4803391818158333e-05,-2.0172373518550127e-10,0.002575110048094784,1.0956553247910947e-05,0.08963638788292598,1.2214624320151085e-06,-0.002575110048094784,-1.0956553247910947e-05,-0.08963638788292598,-1.2214624320151085e-06,0.002575110048094784,1.0956553247910947e-05,0.08963638788292598,1.2214624320151085e-06,-0.002575110048094784,-1.0956553247910947e-05,-0.08963638788292598,-1.2214624320151085e-06
surface_adiabatic_16_temperature,1.866917448299728e-09,4.807983469209492e-07,2.061057687285152e-10,1.103231657614892e-05,-1.866917448299728e-09,-4.807983469209492e-07,-2.061057687285152e-10,-1.103231657614892e-05,1.1304418514135891e-05,0.0029112940903997125,1.2479961928722507e-06,0.06680205590815373,-1.1304418514135891e-05,-0.0029112940903997125,-1.2479961928722507e-06,-0.06680205590815373,1.1304418514135891e-05,0.0029112940903997125,1.2479961928722507e-06,0.06680205590815373,-1.1304418514135891e-05,-0.0029112940903997125,-1.2479961928722507e-06,-0.06680205590815373
surface_adiabatic_17_temperature,8.568558501679543e-10,2.208106579286189e-07,9.456245880719425e-11,5.070829228128134e-06,-8.568558501679543e-10,-2.208106579286189e-07,-9.456245880719425e-11,-5.070829228128134e-06,5.1883692797482335e-06,0.0013370361350900286,5.725875083849121e-07,0.030704504829969368,-5.1883692797482335e-06,-0.0013370361350900286,-5.725875083849121e-07,-0.030704504829969368,5.1883692797482335e-06,0.0013370361350900286,5.725875083849121e-07,0.030704504829969368,-5.1883692797482335e-06,-0.0013370361350900286,-5.725875083849121e-07,-0.030704504829969368
surface_adiabatic_18_temperature,1.8272502451376468e-09,4.7059431707756405e-07,2.0172373483833892e-10,1.0798524186900526e-05,-1.8272502451376468e-09,-4.7059431707756405e-07,-2.0172373483833892e-10,-1.0798524186900526e-05,1.1064228640589092e-05,0.002849507414194285,1.221462429912997e-06,0.06538641376720604,-1.1064228640589092e-05,-0.002849507414194285,-1.221462429912997e-06,-0.06538641376720604,1.1064228640589092e-05,0.002849507414194285,1.221462429912997e-06,0.06538641376720604,-1.1064228640589092e-05,-0.002849507414194285,-1.221462429912997e-06,-0.06538641376720604
surface_adiabatic_19_temperature,1.8272502452003182e-09,4.7059431707792817e-07,2.0172373486697513e-10,1.0798524186900853e-05,-1.8272502452003182e-09,-4.7059431707792817e-07,-2.0172373486697513e-10,-1.0798524186900853e-05,1.1064228640968576e-05,0.0028495074141964894,1.2214624300863929e-06,0.06538641376720804,-1.1064228640968576e-05,-0.0028495074141964894,-1.2214624300863929e-06,-0.06538641376720804,1.1064228640968576e-05,0.0028495074141964894,1.2214624300863929e-06,0.06538641376720804,-1.1064228640968576e-05,-0.0028495074141964894,-1.2214624300863929e-06,-0.06538641376720804
surface_exterior_1_temperature,1.6046941021910718e-06,7.217724831246597e-09,1.9473295416071827e-07,8.366522469761146e-10,-1.6046941021910718e-06,-7.217724831246597e-09,-1.9473295416071827e-07,-8.366522469761146e-10,0.009716623375529712,4.3704226068802045e-05,0.0011791323790624193,5.066033936971246e-06,-0.009716623375529712,-4.3704226068802045e-05,-0.0011791323790624193,-5.066033936971246e-06,0.009716623375529712,4.3704226068802045e-05,0.0011791323790624193,5.066033936971246e-06,-0.009716623375529712,-4.3704226068802045e-05,-0.0011791323790624193,-5.066033936971246e-06
surface_exterior_2_temperature,7.21772483110262e-09,1.7613147319182055e-06,8.285103712635565e-10,2.1548267702173827e-07,-7.21772483110262e-09,-1.7613147319182055e-06,-8.285103712635565e-10,-2.1548267702173827e-07,4.370422606793025e-05,0.010664980866106224,5.016733861797243e-06,0.001304774544701253,-4.370422606793025e-05,-0.010664980866106224,-5.016733861797243e-06,-0.001304774544701253,4.370422606793025e-05,0.010664980866106224,5.016733861797243e-06,0.001304774544701253,-4.370422606793025e-05,-0.010664980866106224,-5.016733861797243e-06,-0.001304774544701253
surface_exterior_3_temperature,7.217724831117543e-09,1.761314731918691e-06,8.285103712456485e-10,2.154826770220767e-07,-7.217724831117543e-09,-1.761314731918691e-06,-8.285103712456485e-10,-2.154826770220767e-07,4.3704226068020613e-05,0.010664980866109163,5.016733861688807e-06,0.001304774544703302,-4.3704226068020613e-05,-0.010664980866109163,-5.016733861688807e-06,-0.001304774544703302,4.3704226068020613e-05,0.010664980866109163,5.016733861688807e-06,0.001304774544703302,-4.3704226068020613e-05,-0.010664980866109163,-5.016733861688807e-06,-0.001304774544703302
surface_exterior_4_temperature,7.2177248310624796e-09,1.7613147319187387e-06,8.285103712438342e-10,2.1548267702216896e-07,-7.2177248310624796e-09,-1.7613147319187387e-06,-8.285103712438342e-10,-2.1548267702216896e-07,4.3704226067687194e-05,0.010664980866109453,5.016733861677822e-06,0.0013047745447038609,-4.3704226067687194e-05,-0.010664980866109453,-5.016733861677822e-06,-0.0013047745447038609,4.3704226067687194e-05,0.010664980866109453,5.016733861677822e-06,0.0013047745447038609,-4.3704226067687194e-05,-0.010664980866109453,-5.016733861677822e-06,-0.0013047745447038609
surface_exterior_5_temperature,7.2177248310624796e-09,1.7613147319187647e-06,8.285103712438342e-10,2.1548267702218947e-07,-7.2177248310624796e-09,-1.7613147319187647e-06,-8.285103712438342e-10,-2.1548267702218947e-07,4.3704226067687194e-05,0.010664980866109609,5.016733861677822e-06,0.0013047745447039851,-4.3704226067687194e-05,-0.010664980866109609,-5.016733861677822e-06,-0.0013047745447039851,4.3704226067687194e-05,0.010664980866109609,5.016733861677822e-06,0.0013047745447039851,-4.3704226067687194e-05,-0.010664980866109609,-5.016733861677822e-06,-0.0013047745447039851
surface_exterior_6_temperature,1.9473295416264705e-07,8.285103715774978e-10,6.778779248611682e-06,9.236202366464947e-11,-1.9473295416264705e-07,-8.285103715774978e-10,-6.778779248611682e-06,-9.236202366464947e-11,0.0011791323790740981,5.016733863698196e-06,0.041046355697749816,5.592635985424106e-07,-0.0011791323790740981,-5.016733863698196e-06,-0.041046355697749816,-5.592635985424106e-07,0.0011791323790740981,5.016733863698196e-06,0.041046355697749816,5.592635985424106e-07,-0.0011791323790740981,-5.016733863698196e-06,-0.041046355697749816,-5.592635985424106e-07
surface_exterior_7_temperature,1.9473295416279208e-07,8.285103715571795e-10,6.778779248611711e-06,9.236202368900419e-11,-1.9473295416279208e-07,-8.285103715571795e-10,-6.778779248611711e-06,-9.236202368900419e-11,0.0011791323790749763,5.016733863575166e-06,0.04104635569774999,5.592635986898815e-07,-0.0011791323790749763,-5.016733863575166e-06,-0.04104635569774999,-5.592635986898815e-07,0.0011791323790749763,5.016733863575166e-06,0.04104635569774999,5.592635986898815e-07,-0.0011791323790749763,-5.016733863575166e-06,-0.04104635569774999,-5.592635986898815e-07
surface_exterior_8_temperature,8.366522468717518e-10,2.1548267702229596e-07,9.23620234851248e-11,4.944863809499971e-06,-8.366522468717518e-10,-2.1548267702229596e-07,-9.23620234851248e-11,-4.944863809499971e-06,5.066033936339316e-06,0.0013047745447046298,5.592635974553664e-07,0.02994176847449851,-5.066033936339316e-06,-0.0013047745447046298,-5.592635974553664e-07,-0.02994176847449851,5.066033936339316e-06,0.0013047745447046298,5.592635974553664e-07,0.02994176847449851,-5.066033936339316e-06,-0.0013047745447046298,-5.592635974553664e-07,-0.02994176847449851
surface_exterior_9_temperature,8.366522468968721e-10,2.1548267702264272e-07,9.236202354239722e-11,4.944863809499581e-06,-8.366522468968721e-10,-2.1548267702264272e-07,-9.236202354239722e-11,-4.944863809499581e-06,5.066033936491423e-06,0.0013047745447067295,5.59263597802158e-07,0.02994176847449615,-5.066033936491423e-06,-0.0013047745447067295,-5.59263597802158e-07,-0.02994176847449615,5.066033936491423e-06,0.0013047745447067295,5.59263597802158e-07,0.02994176847449615,-5.066033936491423e-06,-0.0013047745447067295,-5.59263597802158e-07,-0.02994176847449615
surface_interior_1_temperature,1.7981983889410914e-06,1.9729269213802012e-06,2.18173653939584e-07,2.413326321838351e-07,-1.7981983889410914e-06,-1.9729269213802012e-06,-2.18173653939584e-07,-2.413326321838351e-07,0.010888316019836924,0.011946319124822292,0.0013210687463109235,0.0014612992544521444,-0.010888316019836924,-0.011946319124822292,-0.0013210687463109235,-0.0014612992544521444,0.010888316019836924,0.011946319124822292,0.0013210687463109235,0.0014612992544521444,-0.010888316019836924,-0.011946319124822292,-0.0013210687463109235,-0.0014612992544521444
surface_interior_2_temperature,2.0073951537978704e-06,8.976889085568636e-09,7.779191592097433e-06,1.0365116087127305e-09,-2.0073951537978704e-06,-8.976889085568636e-09,-7.779191592097433e-06,-1.0365116087127305e-09,0.01215502858064033,5.435618552425378e-05,0.047103977489098975,6.276207354706672e-06,-0.01215502858064033,-5.435618552425378e-05,-0.047103977489098975,-6.276207354706672e-06,0.01215502858064033,5.435618552425378e-05,0.047103977489098975,6.276207354706672e-06,-0.01215502858064033,-5.435618552425378e-05,-0.047103977489098975,-6.276207354706672e-06
surface_interior_3_temperature,8.985973555124411e-09,2.205273580009448e-06,1.0274271385046805e-09,5.756557461534167e-06,-8.985973555124411e-09,-2.205273580009448e-06,-1.0274271385046805e-09,-5.756557461534167e-06,5.4411193122972697e-05,0.013353207186154709,6.2211997520381535e-06,0.03485667499927207,-5.4411193122972697e-05,-0.013353207186154709,-6.2211997520381535e-06,-0.03485667499927207,5.4411193122972697e-05,0.013353207186154709,6.2211997520381535e-06,0.03485667499927207,-5.4411193122972697e-05,-0.013353207186154709,-6.2211997520381535e-06,-0.03485667499927207
